Ref,Service subcategory->Name,Team->Name,Service->Name,Request Type,Last team ID->Name,Title_anon,Description_anon,Public_log_anon,instance_count,first_reply,initial_sequence,label_auto,label_category,Ticket_Reference,Team,Service_Name,Service_Subcategory,Status,Priority,Source
R-537284,I need a Virtual Machine installed locally into my GFT PC,(GI-UX) File & Print,Corporate computers,Service request,(GI-UX) Windows,VM creation,To deliver a project in CREDEM we need the installation of a Windows Virtual Machine,"********** 2024-07-17 14:16:06 : servicedesk (0) ************

Dear Michael, Below you will find the additional form information for that request and the information you filled out.
---------------------------------------------------------------

- Need: Extra information needed to request a Virtual Machine installed locally into your computer
- Computer Name: XTE-b91QmNhxRDP (PC)
- Other Computer name:
---------------------------------------------------------------",1,"Below you will find the additional form information for that request and the information you filled out.

- Need: Extra information needed to request a Virtual Machine installed locally into your computer
- Computer Name: XTE-b91QmNhxRDP (PC)
- Other Computer name:",0,to request a Virtual Machine installed locally into your computer,1,,,,,,,
R-537271,I need a new or modify an existing Azure Virtual desktop (AVD) ->,(GI-UX) Group,Azure Virtual Desktop Infrastructure,Service request,,AVD Assignment,"In order to deliver a project in ZIRQU I would need the installation of a Windows virtual machine. My colleague Martin Rodriguez opened the following ticket: R-537265.

I, as an outsider, cannot do the same on my PC. Is requesting the assignment of an AVD equivalent to the procedure carried out by my colleague?","********** 2024-07-17 12:52:10 : servicedesk (0) ************

Dear Peter, Below you will find the additional form information for that request and the information you filled out.
---------------------------------------------------------------

- Need: Extra information need to create a new or modify an existing Azure Virtual desktop (AVD)
- General Instructions:
Please provide the full name of your manager (L5 or above). If they are unavailable, please provide an alternative contact to complete this request.

NOTE: If you are L5 and above, you don't need a manager approval. Therefore please add your own name as the approver.

Please be aware, a second Group IT Country Manager approval is required to allocate the costs per country.
- Line Manager approval:: Gavin Jacobs (Milano) (ZXCV)
- AVD Configuration profile:: Development AVD: CPU - 8 Core; 32 GB RAM estimated costs per month (eight hours usage per day) ~90.€
- Project Engagement: (Please select ""Other (not in the list)"" if you don't find your Project: Property Management Security (KE-039931)
- Project Element:: Property Management Security (KE039931-001)
- Please, add your project here in case you select ""Other (not in the list)"" in the Project Engagement field:
- AVD Owner (full name of GHF employee):: Gavin Jacobs (Milano) (ZXCV)
---------------------------------------------------------------
********** 2024-07-17 13:27:13 : servicedesk (0) ************

Dear Peter, this ticket has been assigned to Gavin Jacobs (Milano) (ZXCV) for an Approval review.

If needed,you can contact the approvers to know about the approval status, please use iTop to inquire about the status of the approval.
********** 2024-07-17 14:49:23 : Gavin Jacobs (43055) ************

Approved by Gavin Jacobs (Milano) (ZXCV)",3,"Below you will find the additional form information for that request and the information you filled out.

- Need: Extra information need to create a new or modify an existing Azure Virtual desktop (AVD)
- General Instructions:
Please provide the full name of your manager (L5 or above). If they are unavailable, please provide an alternative contact to complete this request.

NOTE: If you are L5 and above, you don't need a manager approval. Therefore please add your own name as the approver.

Please be aware, a second Group IT Country Manager approval is required to allocate the costs per country.
- Line Manager approval:: Gavin Jacobs (Milano) (ZXCV)
- AVD Configuration profile:: Development AVD: CPU - 8 Core; 32 GB RAM estimated costs per month (eight hours usage per day) ~90.€
- Project Engagement: (Please select ""Other (not in the list)"" if you don't find your Project: Property Management Security (KE-039931)
- Project Element:: Property Management Security (KE039931-001)
- Please, add your project here in case you select ""Other (not in the list)"" in the Project Engagement field:
- AVD Owner (full name of GHF employee):: Gavin Jacobs (Milano) (ZXCV)",24,other,5,,,,,,,
R-537265,I need a Virtual Machine installed locally into my GFT PC,(GI-UX) File & Print,Corporate computers,Service request,(GI-UX) Windows,VM creation,To deliver a project in CREDEM we need the installation of a Windows Virtual Machine,"********** 2024-07-17 12:35:09 : servicedesk (0) ************ 

Dear Kevin, Below you will find the additional form information for that request and the information you filled out.
---------------------------------------------------------------

- Need: Extra information needed to request a Virtual Machine installed locally into your computer
- Computer Name: GFT-q7h6dUMJxyT (PC)
- Other Computer name:
---------------------------------------------------------------",1,"Below you will find the additional form information for that request and the information you filled out.

- Need: Extra information needed to request a Virtual Machine installed locally into your computer
- Computer Name: GFT-q7h6dUMJxyT (PC)
- Other Computer name:",0,to request a Virtual Machine installed locally into your computer,1,,,,,,,
R-537263,* I need software or a license installed on my computer >>,(GI-UX) Group,Windows Software installation,Service request,(GI-IaaS) Admin - License & Asset Management,OBS Studio Software Installation,"I need the installation of the software ""OBS Studio"" from the website [Open Broadcaster Software | OBS (obsproject.com)](https://obsproject.com/)","********** 2024-07-17 12:24:22 : servicedesk (0) ************

Dear Alice, Below you will find the additional form information for that request and the information you filled out.
---------------------------------------------------------------

- Need: Extra information needed to request a software or a licence on my Windows device
- Important information:
Installing software or licences increases the risk of harming the integrity of your working device, as well XYZ & client infrastructure. An attacker or malicious software can misuse your privileged user account for serious impact, as changing system settings, installing system-level software or steal confidential information, like passwords.

Therefore you must accept taking the responsibility for this request as in following business needs, installing from trustworthy sources and applying latest security patches. In case of any suspicious activity please inform databreach@xyz.com.

Some client requirements demands us to not work with additional software or licences, it is highly important that you check prior with your manager that you do not violate client contract by your request and add in the below field a justification of your need.
- I agree to the above Important Information box: Yes I read carefully and understood. I agree to follow it.
- Justification:
I need to make knowledge transfer video
- Approval instructions:
For approval, please provide the full name of your XYZ employee manager (L5 or above). If they are unavailable, please provide an alternative contact to complete this request.

NOTE: If you are L5 and above, you don't need a manager’s approval. Therefore please add your own name as the approver.

The field below only accept persons with Level L5 and above
- Approval full name: Alice Rossi (Milano) (ABCD)
- Software: OBS Studio
- License Type: Free for commercial use / open source
- Project Engagement: (Please select ""Other (not in the list)"" if you don't find your Project: ESG - Taxonomy Alignment Tool (KE-046214)
- Project Element::
- Please, add your project here in case you select ""Other (not in the list)"" in the Project Engagement field:
- Do you need support for the installation?: Yes
- (Please ignore this field) Responsible IT Team:
---------------------------------------------------------------
********** 2024-07-17 12:28:13 : John Verdi (12345) ************

Hi,

I'll now dispatch the ticket to the UX Team that will reach out to you and support you with the installation.

Thanks,

Best Regards",2,"Below you will find the additional form information for that request and the information you filled out.

- Need: Extra information needed to request a software or a licence on my Windows device
- Important information:
Installing software or licences increases the risk of harming the integrity of your working device, as well XYZ & client infrastructure. An attacker or malicious software can misuse your privileged user account for serious impact, as changing system settings, installing system-level software or steal confidential information, like passwords.

Therefore you must accept taking the responsibility for this request as in following business needs, installing from trustworthy sources and applying latest security patches. In case of any suspicious activity please inform databreach@xyz.com.

Some client requirements demands us to not work with additional software or licences, it is highly important that you check prior with your manager that you do not violate client contract by your request and add in the below field a justification of your need.
- I agree to the above Important Information box: Yes I read carefully and understood. I agree to follow it.
- Justification:
I need to make knowledge transfer video
- Approval instructions:
For approval, please provide the full name of your XYZ employee manager (L5 or above). If they are unavailable, please provide an alternative contact to complete this request.

NOTE: If you are L5 and above, you don't need a manager’s approval. Therefore please add your own name as the approver.

The field below only accept persons with Level L5 and above
- Approval full name: Alice Rossi (Milano) (ABCD)
- Software: OBS Studio
- License Type: Free for commercial use / open source
- Project Engagement: (Please select ""Other (not in the list)"" if you don't find your Project: ESG - Taxonomy Alignment Tool (KE-046214)
- Project Element::
- Please, add your project here in case you select ""Other (not in the list)"" in the Project Engagement field:
- Do you need support for the installation?: Yes
- (Please ignore this field) Responsible IT Team:",0,to request a software or a licence on my Windows device,1,,,,,,,
R-537255,* I need administrator rights on my computer >>,(GI-UX) File & Print,Corporate computers,Service request,(BF) Information Security Office,NEED TO EDIT ENVIRONMENT VARIABLES,"Hi,

in order to launch Penthao application I need to change my environment variables PENTHAO_JAVA_HOME and PENTHAO_JAVA.

In attachments the application error.

Thanks,

Alex","********** 2024-07-17 11:50:05 : servicedesk (0) ************

Dear Alex, Below you will find the additional form information for that request and the information you filled out.
---------------------------------------------------------------

- Need: Extra information needed to request admin rights on the computer
- Do you need admin rights for one-time action / software installation?: Yes (Please do not use this subcategory if you need to install Software just one time. Use the Service and Subcategory Windows Software Installation - I need software or a license installed on my computer) do not open this ticket
- Do you need temporary short or long term admin rights?: Short Term: Choose this if Group IT cannot perform the task for you (Please do not open this ticket if you need to install software just one time. Use the Service and Subcategory Windows Software Installation - I need software or a license installed on my computer)
- General Instructions:
Please provide the full name of your employee manager (L6 or above). If they are unavailable, please provide an alternative contact to complete this request.

NOTE: If you are L6 and above, you don't need a manager approval. Therefore please add your own name as the approver.

The field below only accept persons with Level L6 and above
- Project Manager Full name: John Doe (Milano) (G3H9)
- Computer name information:
Below you will find the computers Group IT has already assigned to you, the available names may not match the one on the label of your PC.

To identify your computer name pls check the Device Name in the company portal application or open a cmd command window and write hostname.

If your PC is not in the list, please ensure to select Not in the list (PC) and place the name of your computer in the Other Computer Name field, in that case, ensure to fill that field.
- Computer Name: GFT-9SnRd8BgKLX (PC)
- Other Computer name:
- Computer System: Windows
- Additional information:
Granting permanent local admin rights increases the risk for the harming integrity of your working device, company & client infrastructure, as an attacker or malicious software can misuse your privileged user account for serious impact, as changing system settings, installing system-level software or steal confidential information, like passwords.

Permanent admin rights should only be requested, if you need it for regular repeating tasks for daily business (please provide reason in ticket request, it will not approved without proper justification).
Temporary admin rights for a short period of time or for one-time software installation if it could not be carried out by Group IT.

Some clients requirements demands us to not work with local admin rights, it is highly important that you check prior with your manager that you do not violate client contract by your request.
- List clients and projects you work on.:
.
- Justification, including the list of software/actions that requires you to have admin Rights:
After installing new java version Penthao application needs correct path in Penthao environment variables.
- Important Information:
The provided local admin rights will require to be renewed after 12 Months after the approval. A new request will be required at that time if those rights are still needed.
- Local Admin Rights Policy:
Local Administration Rights (LAR) allows a user to operate their assigned workstation system with elevated privileges; this means, installing or customizing software not found on the base company Group system installations.

The following conditions and rules apply when using LAR privileges on a system provisioned by and used within the company Group environment:
✔️ Only personnel from the company Group may request LAR privileges.
✔️ Only personnel who are authorized and hold LAR privileges may install software on their assigned workstation.
✔️ Only software intended and related to support activities and the needs of company Group is eligible and may be installed.

- The following types of software may be installed:
✔️ Licensed software for which a valid usage license agreement exists between the company Group (licensee) and the Software Vendor (licensor), irrespective of who acquires the license.
✔️ Licensed software for which a valid usage license agreement exists between a company Group Nominated End-User (licensee) and the Software Vendor (licensor), irrespective of who acquires the license.
✔️ Open-source software licensed under an approved OSI license (http://www.opensource.org/licenses/alphabetical) where:
✔️ software is provided free of charge for commercial use,
✔️ does not contain advertising banners,
✔️ does not send any statistical data to third-party companies

- It is explicitly forbidden to:
? Alter the base company Group system installation deployed on the user’s workstation.
? Stop",1,"Below you will find the additional form information for that request and the information you filled out.

- Need: Extra information needed to request admin rights on the computer
- Do you need admin rights for one-time action / software installation?: Yes (Please do not use this subcategory if you need to install Software just one time. Use the Service and Subcategory Windows Software Installation - I need software or a license installed on my computer) do not open this ticket
- Do you need temporary short or long term admin rights?: Short Term: Choose this if Group IT cannot perform the task for you (Please do not open this ticket if you need to install software just one time. Use the Service and Subcategory Windows Software Installation - I need software or a license installed on my computer)
- General Instructions:
Please provide the full name of your employee manager (L6 or above). If they are unavailable, please provide an alternative contact to complete this request.

NOTE: If you are L6 and above, you don't need a manager approval. Therefore please add your own name as the approver.

The field below only accept persons with Level L6 and above
- Project Manager Full name: John Doe (Milano) (G3H9)
- Computer name information:
Below you will find the computers Group IT has already assigned to you, the available names may not match the one on the label of your PC.

To identify your computer name pls check the Device Name in the company portal application or open a cmd command window and write hostname.

If your PC is not in the list, please ensure to select Not in the list (PC) and place the name of your computer in the Other Computer Name field, in that case, ensure to fill that field.
- Computer Name: GFT-9SnRd8BgKLX (PC)
- Other Computer name:
- Computer System: Windows
- Additional information:
Granting permanent local admin rights increases the risk for the harming integrity of your working device, company & client infrastructure, as an attacker or malicious software can misuse your privileged user account for serious impact, as changing system settings, installing system-level software or steal confidential information, like passwords.

Permanent admin rights should only be requested, if you need it for regular repeating tasks for daily business (please provide reason in ticket request, it will not approved without proper justification).
Temporary admin rights for a short period of time or for one-time software installation if it could not be carried out by Group IT.

Some clients requirements demands us to not work with local admin rights, it is highly important that you check prior with your manager that you do not violate client contract by your request.
- List clients and projects you work on.:
.
- Justification, including the list of software/actions that requires you to have admin Rights:
After installing new java version Penthao application needs correct path in Penthao environment variables.
- Important Information:
The provided local admin rights will require to be renewed after 12 Months after the approval. A new request will be required at that time if those rights are still needed.
- Local Admin Rights Policy:
Local Administration Rights (LAR) allows a user to operate their assigned workstation system with elevated privileges; this means, installing or customizing software not found on the base company Group system installations.

The following conditions and rules apply when using LAR privileges on a system provisioned by and used within the company Group environment:
✔️ Only personnel from the company Group may request LAR privileges.
✔️ Only personnel who are authorized and hold LAR privileges may install software on their assigned workstation.
✔️ Only software intended and related to support activities and the needs of company Group is eligible and may be installed.

- The following types of software may be installed:
✔️ Licensed software for which a valid usage license agreement exists between the company Group (licensee) and the Software Vendor (licensor), irrespective of who acquires the license.
✔️ Licensed software for which a valid usage license agreement exists between a company Group Nominated End-User (licensee) and the Software Vendor (licensor), irrespective of who acquires the license.
✔️ Open-source software licensed under an approved OSI license (http://www.opensource.org/licenses/alphabetical) where:
✔️ software is provided free of charge for commercial use,
✔️ does not contain advertising banners,
✔️ does not send any statistical data to third-party companies

- It is explicitly forbidden to:
? Alter the base company Group system installation deployed on the user’s workstation.
? Stop",0,to request admin rights on the computer,1,,,,,,,
R-537244,I need a Voice/Data plan for a Business Trip,(GI-IaaS) Admin - IT Purchase Problem Management,Mobile devices,Service request,(GI-UX) Mobile Device Management,I need a Data plan for a Business Trip,"Hello, from 8 August to 24 August I will be on holiday in non-Eu countries. Specifically USA and Peru, I need to have a data plan that allows me to be able to read and respond to emails and use Teams. The reference CSM is Brandon Voss.","********** 2024-07-17 15:23:36 : Luca Beck (44669) ************

Hi Andrew,
After this ticket has been approved by Brandon Voss, you will be able to use your phone both in USA and Perù, at these conditions:
[Paesi che puoi visitare con l'APN dedicato (sharepoint.com)](https://placeholderlink)

No additional cost will be charged on your project/s, as IT cover this plan.
Thanks
Best Regards
********** 2024-07-17 15:23:45 : servicedesk (0) ************

Dear Andrew, this ticket has been assigned to Brandon Voss (Milano) (B23F) for an Approval review.

If needed, you can contact the approvers to know about the approval status, please use iTop to inquire about the status of the approval.
********** 2024-07-23 18:35:59 : Brandon Voss (20572) ************

Approved by Brandon Voss (Milano) (B23F)
********** 2024-07-26 09:36:04 : Luca Beck (44669) ************

Hi Andrew,
We configured your phone to be able to navigate in the green countries:
[Paesi che puoi visitare con l'APN dedicato (sharepoint.com)](https://placeholderlink)

To conclude the configuration and be able to actually navigate outside the EU, please follow the guide that just arrived via email on how to configure the APN.
You need to keep it configured even after you are back.

Thanks,
Best Regards",4,"Hi Andrew,
After this ticket has been approved by Brandon Voss, you will be able to use your phone both in USA and Perù, at these conditions:
[Paesi che puoi visitare con l'APN dedicato (sharepoint.com)](https://placeholderlink)

No additional cost will be charged on your project/s, as IT cover this plan.
Thanks
Best Regards",25,other,5,,,,,,,
R-537241,* I need support about local software / programs,(GI-UX) File & Print,Corporate computers,Service request,(GI-UX) Windows,"""Teams meeting"" not present in Outlook","Hi,

I open this ticket in order to obtain the ""Teams Meeting"" button on New meeting Menù in outlook

Now isn't present.

kind regards
Nancy Meyers","********** 2024-07-17 10:33:22 : servicedesk (0) ************

Dear Nancy, Below you will find the additional form information for that request and the information you filled out.
---------------------------------------------------------------

- Need: Extra information needed to support you about local software / programs
- Important information::
This one is to provide support to installed programs I need support local programs, if you need a software or a licence please use the following category:
* I need software or a license installed on my computer
---------------------------------------------------------------",1,"Below you will find the additional form information for that request and the information you filled out.

- Need: Extra information needed to support you about local software / programs
- Important information::
This one is to provide support to installed programs I need support local programs, if you need a software or a licence please use the following category:
* I need software or a license installed on my computer",0,to support you about local software / programs,1,,,,,,,
R-537235,I need sender to be excluded from html attachment blocking,(GI-CyberSec) Security Operation Center,Email,Service request,(GI-IaaS) Backend M365 (2nd level),email was quarantined due to an HTM/HTML attachment.,email was quarantined due to an HTM/HTML attachment.,"********** 2024-07-17 10:12:42 : servicedesk (0) ************

Dear Elijah, Below you will find the additional form information for that request and the information you filled out.
---------------------------------------------------------------

- Need: Extra information needed to request sender to be excluded from html attachment blocking
- Justification:
To get the job done, I need to receive the email correctly
---------------------------------------------------------------
********** 2024-07-17 11:00:33 : Elijah Martin (29549) ************

These emails (from customer) are critical for my activities",2,"Below you will find the additional form information for that request and the information you filled out.

- Need: Extra information needed to request sender to be excluded from html attachment blocking
- Justification:
To get the job done, I need to receive the email correctly",0,to request sender to be excluded from html attachment blocking,1,,,,,,,
R-537234,* I need administrator rights on my computer >>,(GI-CF) Robot Process Automation,Corporate computers,Service request,(BF) Information Security Office,administrator right,"Hi,

I need administrator rights on my PC because I have to upgrade libraries for developing on LendInvest projects. If you would like to contact me, write me on Teams. Thanks.","********** 2024-07-17 10:10:05 : servicedesk (0) ************

Dear Alex, Below you will find the additional form information for that request and the information you filled out.
---------------------------------------------------------------

- Need: Extra information needed to request admin rights on the computer
- Do you need admin rights for one-time action / software installation?: No I need those rights every week for running and installing software.
- Do you need temporary short or long term admin rights?: Long Term: Choose this if you need to regularly execute administrative tasks (justification required)
- General Instructions:
Please provide the full name of your Initech employee manager (L6 or above). If they are unavailable, please provide an alternative contact to complete this request.

NOTE: If you are L6 and above, you don't need a manager approval. Therefore please add your own name as the approver.

The field below only accept persons with Level L6 and above
- Project Manager Full name: Paolo Rossi (Milan) (K62R)
- Computer name information:
Below you will find the computers Group IT has already assigned to you, the available names may not match the one on the label of your PC.

To identify your computer name pls check the Device Name in the company portal application or open a cmd command window and write hostname.

If your PC is not in the list, please ensure to select Not in the list (PC) and place the name of your computer in the Other Computer Name field, in that case, ensure to fill that field.
- Computer Name: Initech-tJPPlD4gkjw (PC)
- Other Computer name:
- Computer System: Windows
- Additional information:
Granting permanent local admin rights increases the risk for the harming integrity of your working device, Initech & client infrastructure, as an attacker or malicious software can misuse your privileged user account for serious impact, as changing system settings, installing system-level software or steal confidential information, like passwords.

Permanent admin rights should only be requested, if you need it for regular repeating tasks for daily business (please provide reason in ticket request, it will not approved without proper justification).
Temporary admin rights for a short period of time or for one-time software installation if it could not be carried out by Group IT.

Some clients requirements demands us to not work with local admin rights, it is highly important that you check prior with your manager that you do not violate client contract by your request.
- List clients and projects you work on.:
different LendInvest projects
- Justification, including the list of software/actions that requires you to have admin Rights:
I need to upgrade some libraries on the HDML project, I need to do some tests
- Important Information:
The provided local admin rights will require to be renewed after 12 Months after the approval. A new request will be required at that time if those rigths are still needed.
- Initech Local Admin Rights Policy:
Local Administration Rights (LAR) allows a user to operate their assigned workstation system with elevated privileges; this means, installing or customizing software not found on the base Initech Group system installations.

The following conditions and rules apply when using LAR privileges on a system provisioned by and used within the Initech Group environment:
✔️ Only personnel from Initech Group may request LAR privileges.
✔️ Only personnel who are authorized and hold LAR privileges may install software on their assigned workstation.
✔️ Only software intended and related to support activities and the needs of Initech Group is eligible and may be installed.

- The following types of software may be installed:
✔️ Licensed software for which a valid usage license agreement exists between Initech Group (licensee) and the Software Vendor (licensor), irrespective of who acquires the license.
✔️ Licensed software for which a valid usage license agreement exists between a Initech Group Nominated End-User (licensee) and the Software Vendor (licensor), irrespective of who acquires the license.
✔️ Open-source software licensed under an approved OSI license (http://www.opensource.org/licenses/alphabetical) where:
✔️ software is provided free of charge for commercial use,
✔️ does not contain advertising banners,
✔️ does not send any statistical data to third-party companies

- It is explicitly forbidden to:
? Alter the base Initech Group system installation deployed on the user’s workstation.
? Stop, crash, or block any service that protects and manages the workstation (i.e.viruses and malware)
? Install and execute any licensable software that is not free of charge and not provided or authorized by the Initech/IT Infrastructure Department with the exception of trial software that should",1,"Below you will find the additional form information for that request and the information you filled out.

- Need: Extra information needed to request admin rights on the computer
- Do you need admin rights for one-time action / software installation?: No I need those rights every week for running and installing software.
- Do you need temporary short or long term admin rights?: Long Term: Choose this if you need to regularly execute administrative tasks (justification required)
- General Instructions:
Please provide the full name of your Initech employee manager (L6 or above). If they are unavailable, please provide an alternative contact to complete this request.

NOTE: If you are L6 and above, you don't need a manager approval. Therefore please add your own name as the approver.

The field below only accept persons with Level L6 and above
- Project Manager Full name: Paolo Rossi (Milan) (K62R)
- Computer name information:
Below you will find the computers Group IT has already assigned to you, the available names may not match the one on the label of your PC.

To identify your computer name pls check the Device Name in the company portal application or open a cmd command window and write hostname.

If your PC is not in the list, please ensure to select Not in the list (PC) and place the name of your computer in the Other Computer Name field, in that case, ensure to fill that field.
- Computer Name: Initech-tJPPlD4gkjw (PC)
- Other Computer name:
- Computer System: Windows
- Additional information:
Granting permanent local admin rights increases the risk for the harming integrity of your working device, Initech & client infrastructure, as an attacker or malicious software can misuse your privileged user account for serious impact, as changing system settings, installing system-level software or steal confidential information, like passwords.

Permanent admin rights should only be requested, if you need it for regular repeating tasks for daily business (please provide reason in ticket request, it will not approved without proper justification).
Temporary admin rights for a short period of time or for one-time software installation if it could not be carried out by Group IT.

Some clients requirements demands us to not work with local admin rights, it is highly important that you check prior with your manager that you do not violate client contract by your request.
- List clients and projects you work on.:
different LendInvest projects
- Justification, including the list of software/actions that requires you to have admin Rights:
I need to upgrade some libraries on the HDML project, I need to do some tests
- Important Information:
The provided local admin rights will require to be renewed after 12 Months after the approval. A new request will be required at that time if those rigths are still needed.
- Initech Local Admin Rights Policy:
Local Administration Rights (LAR) allows a user to operate their assigned workstation system with elevated privileges; this means, installing or customizing software not found on the base Initech Group system installations.

The following conditions and rules apply when using LAR privileges on a system provisioned by and used within the Initech Group environment:
✔️ Only personnel from Initech Group may request LAR privileges.
✔️ Only personnel who are authorized and hold LAR privileges may install software on their assigned workstation.
✔️ Only software intended and related to support activities and the needs of Initech Group is eligible and may be installed.

- The following types of software may be installed:
✔️ Licensed software for which a valid usage license agreement exists between Initech Group (licensee) and the Software Vendor (licensor), irrespective of who acquires the license.
✔️ Licensed software for which a valid usage license agreement exists between a Initech Group Nominated End-User (licensee) and the Software Vendor (licensor), irrespective of who acquires the license.
✔️ Open-source software licensed under an approved OSI license (http://www.opensource.org/licenses/alphabetical) where:
✔️ software is provided free of charge for commercial use,
✔️ does not contain advertising banners,
✔️ does not send any statistical data to third-party companies

- It is explicitly forbidden to:
? Alter the base Initech Group system installation deployed on the user’s workstation.
? Stop, crash, or block any service that protects and manages the workstation (i.e.viruses and malware)
? Install and execute any licensable software that is not free of charge and not provided or authorized by the Initech/IT Infrastructure Department with the exception of trial software that should",0,to request admin rights on the computer,1,,,,,,,
R-537229,I need to change a GFT employee preferred name,(GI-UX) Account Management,Groups & user accounts,Service request,(GI-IaaS) Backend M365 (2nd level),The user kinly ask us to rename its GFT Alias from Isabella-Garcia@company.com to Olivia-Garcia@company.com,The user kinly ask us to rename its GFT Alias from Isabella-Garcia@company.com,"********** 2024-07-17 13:36:26 : Roberto Martinez (19707) ************

Account updated. Display name changed to ""Garcia, Olivia""

Added following SMTP addresses:

- Olivia.Garcia@company.com
- Olivia.Garcia@Company365.mail.onmicrosoft.com
- Olivia.Garcia@Company365.onmicrosoft.com

Previous SMTP addresses have been maintained.

Regards",1,"Account updated. Display name changed to ""Garcia, Olivia""

Added following SMTP addresses:

- Olivia.Garcia@company.com
- Olivia.Garcia@Company365.mail.onmicrosoft.com
- Olivia.Garcia@Company365.onmicrosoft.com

Previous SMTP addresses have been maintained.

Regards",26,other,5,,,,,,,
R-537104,I need additional support,(GI-UX) Unified Communication,Email,Service request,,He user kinly ask us to rename its GFT Alias from Olivia-Rosalee.Smith@gft.com to Rosalee.Smith@gft.com,"Hello,

THe user kinly ask us to rename its GFT Alias from Olivia-Rosalee.Smith@gft.com to Rosalee.Smith@gft.com.

MAny thanks,
Luca.","********** 2024-07-16 17:55:02 : Emma Clarkson (20632) ************

Hi, I added in SF the Preferred name Rosalee.

Please be aware that the change should impact ONLY the email address!

No other tools should be impacted by this change (kimble for example)

BR

Emma",1,"Hi, I added in SF the Preferred name Rosalee.

Please be aware that the change should impact ONLY the email address!

No other tools should be impacted by this change (kimble for example)

BR

Emma",27,other,5,,,,,,,
R-537097,I need to access network destinations from my computer (while connected to VPN) ->,"(GI-IaaS) Network On-Prem (LAN,WLAN,WAN 2nd level)",Network,Service request,(GI-UX) Network Access,New endpoint for OmegaCorp VPN cdh reader PROD,"Hi,

could you please add the following endpoint to the VPN?

svc-us-cdh-reader-partial.gd.services.ch-r.us (192.168.45.123)

Thanks,

Marco","********** 2024-07-16 17:29:27 : servicedesk (0) ************

Dear Marco, Below you will find the additional form information for that request and the information you filled out.
---------------------------------------------------------------

- Need: Extra information needed to enable Client-to-Site VPN tunnel requests
- Instructions:
This request requires the approval of your GFT employee manager (L5 or above). If they are unavailable, please provide an alternative contact to complete this request.

NOTE: If you are L5 and above, you don't need a managers approval. Therefore please add your own name as the approver.

The field GFT Project Manager below only accept persons with Level L5 and above

After this approval an additional review to make sure that the requested network connection follows all the GFT policies will be made. Please complete as much of the requested information as relevant
- GFT Project Manager: Alessandro Rossi (Milano) (CNAV)
- Destination (GFT Server, Customer site): See description
- Destination IP address: See description
- Destination DNS name: See description
- Destination ports/services: All
- Project name: BetaCorp
- Justification:
See description
---------------------------------------------------------------
********** 2024-07-17 09:09:29 : servicedesk (0) ************

Dear Marco, this ticket has been assigned to Alessandro Rossi (Milano) (CNAV) for an Approval review.

If needed,you can contact the approvers to know about the approval status, please use iTop to inquire about the status of the approval.
********** 2024-07-17 09:38:58 : Alessandro Rossi (48042) ************

Approved by Alessandro Rossi (Milano) (CNAV)
********** 2024-07-17 17:04:34 : Juan Moreno (45611) ************

Hello Marco,

The endpoint has been included in the VPN Tunnel. Would you mind testing and let me know if it worked?

Cheers

Juan Moreno.",4,"Below you will find the additional form information for that request and the information you filled out.

- Need: Extra information needed to enable Client-to-Site VPN tunnel requests
- Instructions:
This request requires the approval of your GFT employee manager (L5 or above). If they are unavailable, please provide an alternative contact to complete this request.

NOTE: If you are L5 and above, you don't need a managers approval. Therefore please add your own name as the approver.

The field GFT Project Manager below only accept persons with Level L5 and above

After this approval an additional review to make sure that the requested network connection follows all the GFT policies will be made. Please complete as much of the requested information as relevant
- GFT Project Manager: Alessandro Rossi (Milano) (CNAV)
- Destination (GFT Server, Customer site): See description
- Destination IP address: See description
- Destination DNS name: See description
- Destination ports/services: All
- Project name: BetaCorp
- Justification:
See description",0,to enable Client-to-Site VPN tunnel requests,1,,,,,,,
